antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'distribution_channel_TA/TO', 'meal_HB', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.013208811458246084,0.37041628277075134,0.012815143646871597,0.9701965757767914,2.61920606869553,0.007922384806688375,21.124543022777157
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'distribution_channel_TA/TO'})",frozenset({'is_canceled'}),0.11286539911215344,0.37041628277075134,0.11244660356813803,0.9962894248608534,2.6896480289918885,0.07063942197557689,169.67281179327955
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'deposit_type_Non Refund'})",frozenset({'is_canceled'}),0.11237959628109558,0.37041628277075134,0.11198592846972108,0.9964969814414548,2.690208362298645,0.0703586961559999,179.72605817158956
"frozenset({'assigned_room_type_A', 'customer_type_Transient', 'meal_BB'})",frozenset({'is_canceled'}),0.33024541418879305,0.37041628277075134,0.16596029818242733,0.5025362686415744,1.3566797465882228,0.04363201945652746,1.2655871725764665
"frozenset({'deposit_type_Non Refund', 'customer_type_Transient', 'meal_BB'})",frozenset({'is_canceled'}),0.09456403383867995,0.37041628277075134,0.09456403383867995,1.0,2.6996653400868307,0.05953597594034858,inf
"frozenset({'meal_HB', 'customer_type_Transient', 'assigned_room_type_A'})",frozenset({'is_canceled'}),0.03144316944467711,0.37041628277075134,0.017564285116006367,0.5586041555673948,1.5080442776137677,0.005917223171778202,1.426347178321424
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.1056956193986096,0.37041628277075134,0.1056956193986096,1.0,2.6996653400868307,0.06654424095582451,inf
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'customer_type_Transient'})",frozenset({'is_canceled'}),0.1050925538152274,0.37041628277075134,0.1050925538152274,1.0,2.6996653400868307,0.06616456068410573,inf
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'meal_BB'})",frozenset({'is_canceled'}),0.10199346678951336,0.37041628277075134,0.10180082083926627,0.9981111932331445,2.694566193924229,0.06402078000419265,333.32351846524233
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'meal_BB'})",frozenset({'is_canceled'}),0.10144065667141301,0.37041628277075134,0.1013150180082084,0.9987614565271242,2.6963216872009172,0.06373974704215957,508.3258932909459
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'meal_HB'})",frozenset({'is_canceled'}),0.013694614289303962,0.37041628277075134,0.013300946477929475,0.9712538226299694,2.6220602813809704,0.008228238358906285,21.901476120634484
"frozenset({'deposit_type_Non Refund', 'meal_HB', 'assigned_room_type_A'})",frozenset({'is_canceled'}),0.013602479269620571,0.37041628277075134,0.01323393919088701,0.9729064039408867,2.6265216978677293,0.008195359383367953,23.237362654097705
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'assigned_room_type_A'})",frozenset({'is_canceled'}),0.11873691263924951,0.37041628277075134,0.11819247843202949,0.9954147855530474,2.6872867955675273,0.07421039262452324,137.30736577602832
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.05483708853337801,0.37041628277075134,0.054183767484713964,0.9880861463265618,2.667501922257783,0.03387121699220949,52.844674316665234
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10320797386715805,0.37041628277075134,0.0740514280928051,0.7174971595520209,1.9370022132533413,0.03582151406063157,2.228592520453549
"frozenset({'reserved_room_type_A', 'distribution_channel_TA/TO', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11244660356813803,0.37041628277075134,0.07860792361169278,0.6990689013035383,1.8872520831817436,0.03695587070778678,2.0921191593570954
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.1054024625177988,0.37041628277075134,0.0780299857609515,0.7403051493960585,1.9985761529123423,0.03898719740022503,2.4243211437003875
"frozenset({'distribution_channel_TA/TO', 'market_segment_Groups', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06285283524583299,0.37041628277075134,0.06285283524583299,1.0,2.6996653400868307,0.039571121652469066,inf
"frozenset({'market_segment_Groups', 'customer_type_Transient', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.05355557416869085,0.37041628277075134,0.05202278247759444,0.9713794182045667,2.622399347400579,0.03218492577237471,21.99758627302629
"frozenset({'reserved_room_type_A', 'market_segment_Groups', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.056730044392327664,0.37041628277075134,0.055197252701231256,0.9729809537870958,2.626722957503649,0.03418352053600554,23.301478233845355
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.05600971605662116,0.37041628277075134,0.055029734483625095,0.9825033647375504,2.6524302803006545,0.03428282366288622,35.98313091548691
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.05475332942457492,0.37041628277075134,0.05475332942457492,1.0,2.6996653400868307,0.03447180466980147,inf
"frozenset({'reserved_room_type_A', 'market_segment_Groups', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10561186028980651,0.37041628277075134,0.07511516877460424,0.711238004599889,1.920104589570838,0.035994816069550184,2.180285935331941
"frozenset({'assigned_room_type_A', 'market_segment_Groups', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.09889437976379932,0.37041628277075134,0.07452047910210235,0.7535360379435927,2.034295124142672,0.037888390563076794,2.554465618324995
"frozenset({'deposit_type_Non Refund', 'market_segment_Groups', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06031493424909959,0.37041628277075134,0.060281430605578355,0.999444521594223,2.698165734287588,0.03793979686546461,1133.4080869419747
"frozenset({'reserved_room_type_A', 'assigned_room_type_A', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.10833403132590669,0.37041628277075134,0.07952927380852667,0.7341116437297046,1.9818557603312552,0.039400584627214186,2.3678498978316664
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06389982410587151,0.37041628277075134,0.06386632046235029,0.999475684886617,2.6982498647479467,0.04019678514734851,1200.7735446857607
"frozenset({'deposit_type_Non Refund', 'assigned_room_type_A', 'market_segment_Groups', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06372392997738505,0.37041628277075134,0.06370717815562442,0.9997371188222921,2.6989556488828113,0.0401027968898578,2394.936460338054
"frozenset({'distribution_channel_TA/TO', 'market_segment_Offline TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.07777033252366194,0.37041628277075134,0.04324482787503141,0.5560581583198707,1.5011709370886703,0.014437430391771287,1.4181671068591881
"frozenset({'distribution_channel_TA/TO', 'market_segment_Offline TA/TO', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11162576430186782,0.37041628277075134,0.05681380350113075,0.5089667592106251,1.374039919097244,0.01546580282698884,1.282161094057793
"frozenset({'distribution_channel_TA/TO', 'market_segment_Offline TA/TO', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.040623167769494935,0.37041628277075134,0.04061479185861462,0.9997938144329895,2.6991087080579463,0.025567309059065714,3053.481028559565
"frozenset({'market_segment_Offline TA/TO', 'customer_type_Transient', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06946980484127649,0.37041628277075134,0.039693441661780716,0.5713768989631058,1.5425264102569918,0.013960694787665533,1.468851575442866
"frozenset({'reserved_room_type_A', 'market_segment_Offline TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.07113661110645783,0.37041628277075134,0.04214758354971103,0.5924879312374897,1.5995191323816003,0.015797424494748375,1.5449449611175985
"frozenset({'market_segment_Offline TA/TO', 'customer_type_Transient', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.06230840103861295,0.37041628277075134,0.04173716391657593,0.6698480978626159,1.8083656929227956,0.018657117618463694,1.9069516581711645
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.037172292486807944,0.37041628277075134,0.037172292486807944,1.0,2.6996653400868307,0.023403070081777416,inf
"frozenset({'market_segment_Offline TA/TO', 'assigned_room_type_A', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.08590334198844124,0.37041628277075134,0.047399279671664296,0.5517745709828393,1.489606684823652,0.01557928305472129,1.4046140099854632
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.03437473825278499,0.37041628277075134,0.03436636234190468,0.9997563352826511,2.6990075268948015,0.021633399577090515,2583.811575508763
"frozenset({'reserved_room_type_A', 'market_segment_Offline TA/TO', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.11287377502303375,0.37041628277075134,0.05764301867828126,0.5106856634016028,1.3786803851645568,0.01583273451194702,1.2866651764302934
"frozenset({'reserved_room_type_A', 'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.04053103274981154,0.37041628277075134,0.040522656838931234,0.9997933457325894,2.699107442723721,0.02550930235088646,3046.555607672335
"frozenset({'deposit_type_Non Refund', 'market_segment_Offline TA/TO', 'assigned_room_type_A', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.04043052181924784,0.37041628277075134,0.040422145908367534,0.9997928319867413,2.6991060557818614,0.025446022305599995,3039.000603066252
"frozenset({'distribution_channel_TA/TO', 'customer_type_Transient', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.32548789680877793,0.37041628277075134,0.16958706759360082,0.5210241893978385,1.4065909454641807,0.0490210507708234,1.314437395988213
"frozenset({'distribution_channel_TA/TO', 'meal_HB', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.020931401289890277,0.37041628277075134,0.011818410252114917,0.564625850340136,1.5243008382803191,0.0040650783931308505,1.4460751005109305
"frozenset({'reserved_room_type_A', 'distribution_channel_TA/TO', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.32150933914063157,0.37041628277075134,0.1710947315520563,0.5321610003907776,1.4366566081009167,0.05200243727150272,1.3457273073752483
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'customer_type_Transient', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.30084596699891114,0.37041628277075134,0.16969595443504482,0.5640625870037307,1.522780215773684,0.05825770965273602,1.4442066646723817
"frozenset({'distribution_channel_TA/TO', 'customer_type_Transient', 'deposit_type_Non Refund', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.09135605997152191,0.37041628277075134,0.09135605997152191,1.0,2.6996653400868307,0.05751628782828893,inf
"frozenset({'distribution_channel_TA/TO', 'assigned_room_type_A', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.30361001758941286,0.37041628277075134,0.16354803584889857,0.538677996027367,1.4542503153425141,0.05108594172146583,1.3647381044208708
"frozenset({'distribution_channel_TA/TO', 'deposit_type_Non Refund', 'meal_BB', 'hotel_City Hotel'})",frozenset({'is_canceled'}),0.0940949828293827,0.37041628277075134,0.09406985509674178,0.999732953533915,2.6989444039981483,0.05921554132970416,2357.581159785359
